ID	Replicate	SampleType	FiltrationBeforeExtraction	SamplingTime	SeawaterTreatment	TreatmentDuration.Type	TiO2EffetOnOyster	Mortality72h	Mortality4days	Mortality72h.EM-EMC	Mortality4days.EM-EMC	TreatmentTime	VirusDetectedByQPCR	OysterFamily	ExperimentationDate	TypeOfTreatment
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
E-n-EMnC-0-nF	Clean_Seawater	Clean_Seawater	No_Filtration	0h	Control	Control	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-n-EMnC-TiO2-0-nF	Clean_Seawater-TiO2	Clean_Seawater	No_Filtration	0h	Control	Control_TiO2	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PC-EMC-0-nF	Contaminated_Seawater-0h-TiO2	Contaminated_Seawater	No_Filtration	0h	Control	0h_UV_TiO2	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PC-EMC-1-F	Contaminated_Seawater-1h_UV_TiO2-F	Contaminated_Seawater	Filtration	1h	UV_TiO2	1h_UV_TiO2	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PC-EMC-1-nF	Contaminated_Seawater-1h_UV_TiO2	Contaminated_Seawater	No_Filtration	1h	UV_TiO2	1h_UV_TiO2	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PC-EMC-10j	Contaminated_Seawater-10days_UV_TiO2	Contaminated_Seawater	No_Filtration	10days	UV_TiO2	10days_UV_TiO2	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PC-EMC-2-F	Contaminated_Seawater-2h_UV_TiO2-F	Contaminated_Seawater	Filtration	2h	UV_TiO2	2h_UV_TiO2	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PC-EMC-2-nF	Contaminated_Seawater-2h_UV_TiO2	Contaminated_Seawater	No_Filtration	2h	UV_TiO2	2h_UV_TiO2	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PC-EMC-30-F	Contaminated_Seawater-0.5h_UV_TiO2-F	Contaminated_Seawater	Filtration	0.5h	UV_TiO2	0.5h_UV_TiO2	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PC-EMC-30-nF	Contaminated_Seawater-0.5h_UV_TiO2	Contaminated_Seawater	No_Filtration	0.5h	UV_TiO2	0.5h_UV_TiO2	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PC-EMC-4j	Contaminated_Seawater-4days_UV_TiO2	Contaminated_Seawater	No_Filtration	4days	UV_TiO2	4days_UV_TiO2	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PC-EMC-7j	Contaminated_Seawater-7days_UV_TiO2	Contaminated_Seawater	No_Filtration	7days	UV_TiO2	7days_UV_TiO2	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PL-EMC-1-F	Contaminated_Seawater-1h_UV-F	Contaminated_Seawater	Filtration	1h	UV	1h_UV	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PL-EMC-1-nF	Contaminated_Seawater-1h_UV	Contaminated_Seawater	No_Filtration	1h	UV	1h_UV	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PL-EMC-10j	Contaminated_Seawater-10days_UV	Contaminated_Seawater	No_Filtration	10days	UV	10days_UV	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PL-EMC-2-F	Contaminated_Seawater-2h_UV-F	Contaminated_Seawater	Filtration	2h	UV	2h_UV	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PL-EMC-2-nF	Contaminated_Seawater-2h_UV	Contaminated_Seawater	No_Filtration	2h	UV	2h_UV	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PL-EMC-30-F	Contaminated_Seawater-0.5_UV-F	Contaminated_Seawater	Filtration	0.5h	UV	0.5h_UV	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PL-EMC-30-nF	Contaminated_Seawater-0.5_UV	Contaminated_Seawater	No_Filtration	0.5h	UV	0.5h_UV	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PL-EMC-4j	Contaminated_Seawater-4days_UV	Contaminated_Seawater	No_Filtration	4days	UV	4days_UV	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-PL-EMC-7j	Contaminated_Seawater-7days_UV	Contaminated_Seawater	No_Filtration	7days	UV	7days_UV	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-T-EMC-0-F	Contaminated_Seawater-0h_Control-F	Contaminated_Seawater	Filtration	0h	Dark	0h_Dark	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-T-EMC-0-nF	Contaminated_Seawater-0h_Control	Contaminated_Seawater	No_Filtration	0h	Dark	0h_Dark	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-T-EMC-1-F	Contaminated_Seawater-1h_Dark-F	Contaminated_Seawater	Filtration	1h	Dark	1h_Dark	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-T-EMC-1-nF	Contaminated_Seawater-1h_Dark	Contaminated_Seawater	No_Filtration	1h	Dark	1h_Dark	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-T-EMC-10j	Contaminated_Seawater-10days_Dark	Contaminated_Seawater	No_Filtration	10days	Dark	10days_Dark	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-T-EMC-2-F	Contaminated_Seawater-2h_Dark-F	Contaminated_Seawater	Filtration	2h	Dark	2h_Dark	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-T-EMC-2-nF	Contaminated_Seawater-2h_Dark	Contaminated_Seawater	No_Filtration	2h	Dark	2h_Dark	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-T-EMC-30-F	Contaminated_Seawater-0.5h_Dark-F	Contaminated_Seawater	Filtration	0.5h	Dark	0.5h_Dark	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-T-EMC-30-nF	Contaminated_Seawater-0.5h_Dark	Contaminated_Seawater	No_Filtration	0.5h	Dark	0.5h_Dark	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-T-EMC-4j	Contaminated_Seawater-4days_Dark	Contaminated_Seawater	No_Filtration	4days	Dark	4days_Dark	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
E-T-EMC-7j	Contaminated_Seawater-7days_Dark	Contaminated_Seawater	No_Filtration	7days	Dark	7days_Dark	NA	NA	NA	NA	NA	Nae	NA	NA	JUN2022	ASV
HV-EMC-0-1-1	Oyster-Control_OsHV1-0h_Dark	Oyster	NA	24h	Dark	0h_Dark	Control_OsHV1_24h	89	100	89	100	0h	Presence	F14V	JUN2022	ASV
HV-EMC-0-1-2	Oyster-Control_OsHV1-0h_Dark	Oyster	NA	24h	Dark	0h_Dark	Control_OsHV1_24h	89	100	89	100	0h	Presence	F14V	JUN2022	ASV
HV-EMC-0-1-3	Oyster-Control_OsHV1-0h_Dark	Oyster	NA	24h	Dark	0h_Dark	Control_OsHV1_24h	89	100	89	100	0h	Presence	F14V	JUN2022	ASV
HV-EMC-0-2-1	Oyster-Control_OsHV1-0h_Dark	Oyster	NA	24h	Dark	0h_Dark	Control_OsHV1_24h	89	100	89	100	0h	Presence	F14V	JUN2022	ASV
HV-EMC-0-2-2	Oyster-Control_OsHV1-0h_Dark	Oyster	NA	24h	Dark	0h_Dark	Control_OsHV1_24h	89	100	89	100	0h	Presence	F14V	JUN2022	ASV
HV-EMC-0-2-3	Oyster-Control_OsHV1-0h_Dark	Oyster	NA	24h	Dark	0h_Dark	Control_OsHV1_24h	89	100	89	100	0h	Presence	F14V	JUN2022	ASV
HV-EMC-0-3-1	Oyster-Control_OsHV1-0h_Dark	Oyster	NA	24h	Dark	0h_Dark	Control_OsHV1_24h	89	100	89	100	0h	Presence	F14V	JUN2022	ASV
HV-EMC-0-3-2	Oyster-Control_OsHV1-0h_Dark	Oyster	NA	24h	Dark	0h_Dark	Control_OsHV1_24h	89	100	89	100	0h	Presence	F14V	JUN2022	ASV
HV-EMC-0-3-3	Oyster-Control_OsHV1-0h_Dark	Oyster	NA	24h	Dark	0h_Dark	Control_OsHV1_24h	89	100	89	100	0h	Presence	F14V	JUN2022	ASV
HV-EMC-2h-1-1	Oyster-2h_Dark	Oyster	NA	24h	Dark	2h_Dark	NA	71	96	71	96	2h	Presence	F14V	JUN2022	ASV
HV-EMC-2h-1-2	Oyster-2h_Dark	Oyster	NA	24h	Dark	2h_Dark	NA	71	96	71	96	2h	Absence	F14V	JUN2022	ASV
HV-EMC-2h-1-3	Oyster-2h_Dark	Oyster	NA	24h	Dark	2h_Dark	NA	71	96	71	96	2h	Presence	F14V	JUN2022	ASV
HV-EMC-2h-2-1	Oyster-2h_Dark	Oyster	NA	24h	Dark	2h_Dark	NA	71	96	71	96	2h	Presence	F14V	JUN2022	ASV
HV-EMC-2h-2-2	Oyster-2h_Dark	Oyster	NA	24h	Dark	2h_Dark	NA	71	96	71	96	2h	Presence	F14V	JUN2022	ASV
HV-EMC-2h-2-3	Oyster-2h_Dark	Oyster	NA	24h	Dark	2h_Dark	NA	71	96	71	96	2h	Presence	F14V	JUN2022	ASV
HV-EMC-2h-3-1	Oyster-2h_Dark	Oyster	NA	24h	Dark	2h_Dark	NA	71	96	71	96	2h	Presence	F14V	JUN2022	ASV
HV-EMC-2h-3-2	Oyster-2h_Dark	Oyster	NA	24h	Dark	2h_Dark	NA	71	96	71	96	2h	Presence	F14V	JUN2022	ASV
HV-EMC-2h-3-3	Oyster-2h_Dark	Oyster	NA	24h	Dark	2h_Dark	NA	71	96	71	96	2h	Presence	F14V	JUN2022	ASV
HV-EMC-TiO2-1-1	Oyster-TiO2-OsHV1_Injection_24h	Oyster	NA	24h	UV_TiO2	0h_UV_TiO2	TiO2_OsHV1_24h	86	100	86	100	0h	Presence	F14V	JUN2022	ASV
HV-EMC-TiO2-1-2	Oyster-TiO2-OsHV1_Injection_24h	Oyster	NA	24h	UV_TiO2	0h_UV_TiO2	TiO2_OsHV1_24h	86	100	86	100	0h	Presence	F14V	JUN2022	ASV
HV-EMC-TiO2-1-3	Oyster-TiO2-OsHV1_Injection_24h	Oyster	NA	24h	UV_TiO2	0h_UV_TiO2	TiO2_OsHV1_24h	86	100	86	100	0h	Presence	F14V	JUN2022	ASV
